Reference, Quantity, Value, Footprint, MANUFACTURER, P/N
C1 ,1,CAP-47U-6.3V-1-0805,lib_fp:CAPC2012X88N,Kemet,C0805C476M9PACTUâ€Ž
C2 C3 ,2,CAP-4.7U-6.3V-0603,lib_fp:CL10B475KQ8NQNC,Samsung,CL10B475KQ8NQNC
C5,1,CAP-15P-50V-0402,lib_fp:CAPC1005X55N,Yageo,CC0402JRNPO9BN150
C4 ,1,CAP-15P-50V-0402,lib_fp:CAPC1005X55N,Yageo,DNP
C6 C7 ,2,CAP-56PF-50V-0402,lib_fp:CAPC1005X55N,Kemet,C0402C560J5GACTU
D1 ,1,LED-BLUE-0402,lib_fp:EAST10052BA0,Everlight Electronics Co Ltd,EAST10052BA0
J1 ,1,TC2030-IDC-NL,lib_fp:TAG_TC2030-IDC-NL,Tag-Connect,DNP
J2 J4 ,2,CON-1909763-1,lib_fp:TE_1909763-1,TE Connectivity,1909763-1
J3 ,1,104224-0820,lib_fp:MOLEX_104224-0820,Molex,104224-0820
L1 ,1,IND-39NH-250MA-0402,lib_fp:LQG15HN39NJ02D,Murata,LQG15HN39NJ02D
L2 ,1,IND-68NH-200MA-0402 ,lib_fp:INDC1005X55N,Murata,LQG15HN68NH02D
R1 ,1,RES-1M-5%-0402,lib_fp:R0402,Yageo,RC0402JR-071ML
R2 ,1,RES-330-5%-0402,lib_fp:RC0402JR-07330RL,Yageo,RC0402JR-07330RL
R3 ,1,RES-100K-1%-0402,lib_fp:0402_RES,Yageo,RC0402FR07100KL
SW1 ,1,SW-EVP-AA402W,lib_fp:EVPAA402W,Panasonic,EVPAA402W
U1 ,1,NRF9160-SIBA-R,lib_fp:XCVR_NRF9160-SIBA-R,Nordic Semiconductor,NRF9160-SICA-R
U2 ,1,OASIS_IOT_BOARD_TH,lib_fp:MODULE_OASIS_IOT_BOARD_TH,Dagtus,DNP
U3 ,1,POWER-SWITCH-MIC94092YC6,lib_fp:MIC94092YC6-TR,Microchip,MIC94092YC6-TR
